Filename,CPU Time,Normalized CPU Time,Compiler Errors,Linker Errors,Execution Errors,Correctness Errors
clang_generated_O1_optimized.asm,2.219499000000006,0.3526352005874775,0.0,0.0,0.0,0.0
clang_generated_O2_optimized.asm,2.216374000000002,0.3521386988986561,0.0,0.0,0.0,0.0
clang_generated_O3_optimized.asm,2.213655000000003,0.3517067027092471,0.0,0.0,0.0,0.0
clang_generated_llm_optimized_1.asm,2.2170320000000032,0.3522432422942544,0.0,0.0,0.0,0.0
clang_generated_llm_optimized_2.asm,2.2132599999999982,0.3516439448957795,0.0,0.0,0.0,0.0
clang_generated_unoptimized.asm,6.294037000000003,1.0,0.0,0.0,0.0,0.0
