Filename,CPU Time,Normalized CPU Time,Compiler Errors,Linker Errors,Execution Errors,Correctness Errors
clang_generated_O1_optimized.asm,2.219455999999999,0.8720968657722207,0.0,0.0,0.0,0.0
clang_generated_O2_optimized.asm,2.232885,0.877373559164861,0.0,0.0,0.0,0.0
clang_generated_O3_optimized.asm,2.2266699999999995,0.8749314823583035,0.0,0.0,0.0,0.0
clang_generated_llm_optimized_1.asm,2.2228949999999994,0.8734481613696062,0.0,0.0,0.0,0.0
clang_generated_unoptimized.asm,2.5449649999999995,1.0,0.0,0.0,0.0,0.0
