Filename,CPU Time,Normalized CPU Time,problem,technique
clang_generated_unoptimized.asm,0.7216680000000001,1.0,61,loop unrolling
clang_generated_O2_optimized.asm,0.2251999999999998,0.312054850706973,61,loop unrolling
clang_generated_llm_optimized.asm,0.2253449999999999,0.3122557741232808,61,loop unrolling
clang_generated_O1_optimized.asm,0.2249429999999999,0.3116987312725517,61,loop unrolling
clang_generated_O3_optimized.asm,0.2257320000000002,0.3127920317930132,61,loop unrolling
clang_generated_unoptimized.asm,0.3385439999999997,1.0,95,copy propagation
clang_generated_O2_optimized.asm,0.2232780000000001,0.6595243158939467,95,copy propagation
clang_generated_llm_optimized.asm,0.2254830000000001,0.6660375017722963,95,copy propagation
clang_generated_O1_optimized.asm,0.2221129999999997,0.6560831088425728,95,copy propagation
clang_generated_O3_optimized.asm,0.2252230000000001,0.6652695070655523,95,copy propagation
clang_generated_unoptimized.asm,0.2551319999999997,1.0,59,strength reduction
clang_generated_O2_optimized.asm,0.2243320000000004,0.8792781775708288,59,strength reduction
clang_generated_llm_optimized.asm,0.2225210000000004,0.8721798911935809,59,strength reduction
clang_generated_O1_optimized.asm,0.2295259999999999,0.8996362667168375,59,strength reduction
clang_generated_O3_optimized.asm,0.2281329999999997,0.894176347929699,59,strength reduction
clang_generated_unoptimized.asm,0.3463789999999997,1.0,92,copy propagation
clang_generated_O2_optimized.asm,0.2218479999999996,0.6404776271078783,92,copy propagation
clang_generated_llm_optimized.asm,0.2291599999999993,0.661587451895177,92,copy propagation
clang_generated_O1_optimized.asm,0.2264150000000002,0.6536626065667965,92,copy propagation
clang_generated_O3_optimized.asm,0.2264049999999997,0.6536337364563091,92,copy propagation
clang_generated_unoptimized.asm,0.7281600000000008,1.0,66,loop unrolling
clang_generated_O2_optimized.asm,0.2329999999999987,0.3199846187651045,66,loop unrolling
clang_generated_llm_optimized.asm,0.2273530000000008,0.3122294550648217,66,loop unrolling
clang_generated_O1_optimized.asm,0.2265949999999996,0.3111884750604254,66,loop unrolling
clang_generated_O3_optimized.asm,0.2301359999999999,0.3160514172709289,66,loop unrolling
clang_generated_unoptimized.asm,0.2564280000000014,1.0,50,strength reduction
clang_generated_O2_optimized.asm,0.2286470000000005,0.8916615970174833,50,strength reduction
clang_generated_llm_optimized.asm,0.2275050000000007,0.8872081051991181,50,strength reduction
clang_generated_O1_optimized.asm,0.222100000000001,0.8661300637995845,50,strength reduction
clang_generated_O3_optimized.asm,0.228593,0.8914510115899932,50,strength reduction
clang_generated_unoptimized.asm,0.7245480000000004,1.0,68,loop unrolling
clang_generated_O2_optimized.asm,0.2267840000000003,0.3130006569613058,68,loop unrolling
